1,546,3,10,No,5754517,6557 Duke Parkway,95,Apartamento
2,419,4,1,Otro,8459967,3364 Monument Parkway,113,Casa
3,465,3,2,Solo cama,7677951,94 Schurz Drive,60,Apartamento
4,544,4,2,Cama - Closet,8935348,050 Talmadge Alley,4,Habitación
5,452,4,2,Cama - Closet - escritorio,5871836,50191 David Junction,99,Habitación
6,159,3,1,Cama - Closet - escritorio,5299226,57284 Petterle Drive,52,Apartamento
7,209,3,1,Solo cama,3657877,05773 Hintze Lane,42,Apartamento
8,88,2,6,Otro,8283182,215 Summerview Parkway,10,Casa
9,338,3,8,No,745360,37759 Reindahl Drive,22,Casa
10,326,4,5,Cama - Closet - escritorio,4751853,5 Acker Court,43,Habitación
11,168,3,3,Otro,4513358,1 Monument Parkway,105,Apartaestudio
12,134,2,6,No,5061500,35 Luster Alley,12,Apartamento
13,960,2,9,No,579233,8716 Pankratz Drive,29,Casa
14,281,2,2,Cama - Closet,6013507,5 5th Road,52,Casa
15,792,2,4,Cama - Closet,9033054,00335 Basil Plaza,28,Apartaestudio
16,592,3,2,Solo cama,6617025,3203 Maple Wood Avenue,33,Casa
17,948,2,3,No,115532,27 Heffernan Pass,95,Apartamento
18,970,4,9,Otro,7265272,1 Erie Drive,109,Apartaestudio
19,99,4,7,Cama - Closet,2862546,51 Golf View Crossing,102,Casa
20,477,2,10,No,3997407,7381 Coolidge Parkway,55,Casa
21,178,3,6,Solo cama,8605388,657 Gina Court,102,Apartamento
22,415,2,8,Cama - Closet - escritorio,6302136,81 Fulton Court,10,Casa
23,712,1,9,Solo cama,651640,8534 Melby Crossing,45,Casa
24,673,2,7,Cama - Closet,8181232,81603 Cordelia Point,53,Casa
25,166,4,10,Cama - Closet - escritorio,446754,6 Mosinee Plaza,18,Apartaestudio
26,924,3,7,Otro,7299389,2 Warner Center,10,Casa
27,296,2,2,Solo cama,5377541,95880 Ryan Center,71,Apartamento
28,867,2,5,Solo cama,881307,8 Stang Street,107,Casa
29,792,4,10,Cama - Closet - escritorio,841738,11 Dovetail Plaza,42,Apartaestudio
30,935,1,3,Solo cama,2873736,503 High Crossing Alley,106,Apartamento
31,222,4,8,Otro,5886650,16 Mesta Junction,42,Habitación
32,384,4,10,Otro,6044960,92004 Pennsylvania Park,90,Apartamento
33,313,2,5,Cama - Closet,2611239,2621 Pennsylvania Center,54,Apartaestudio
34,49,3,1,No,9620829,6 Johnson Trail,22,Apartamento
35,374,4,10,No,4051216,694 Maple Alley,5,Habitación
36,655,2,6,Solo cama,1212750,80 Mariners Cove Parkway,48,Casa
37,423,2,7,Cama - Closet - escritorio,3891027,51 Little Fleur Way,76,Apartaestudio
38,341,2,6,No,325850,14056 Blaine Way,9,Apartamento
39,557,4,6,Cama - Closet - escritorio,676475,4 Hoard Pass,1,Habitación
40,96,4,8,Solo cama,4266357,248 Ohio Point,64,Habitación
41,214,4,5,Cama - Closet,8357203,0648 Buena Vista Alley,62,Casa
42,514,3,2,Cama - Closet,1833948,3379 Eliot Street,48,Apartamento
43,91,3,3,Cama - Closet - escritorio,1768103,930 Dorton Pass,110,Apartamento
44,29,3,3,Cama - Closet,4665627,75 Bellgrove Court,80,Apartaestudio
45,748,3,2,No,9398509,8 Westridge Place,63,Apartamento
46,843,3,7,Otro,1060376,543 Weeping Birch Hill,112,Habitación
47,817,1,10,Cama - Closet,4865540,744 Carberry Drive,22,Habitación
48,804,4,5,Cama - Closet - escritorio,426290,271 Carey Way,69,Casa
49,118,1,5,Cama - Closet,1762746,62495 Kinsman Parkway,24,Casa
50,842,2,2,Cama - Closet,5663568,191 Kinsman Point,78,Apartaestudio
51,590,2,6,Otro,894706,302 Morrow Pass,33,Apartaestudio
52,950,3,7,Cama - Closet,8563094,9 Packers Drive,31,Apartaestudio
53,253,4,2,Otro,6170209,34378 Dawn Road,78,Habitación
54,888,1,1,Cama - Closet - escritorio,4135651,0 Nancy Crossing,31,Casa
55,812,4,3,No,8580691,53086 Village Green Hill,115,Apartamento
56,904,3,4,No,9664291,9095 Bellgrove Drive,101,Apartamento
57,721,1,1,No,4974242,5579 Manitowish Plaza,63,Casa
58,967,2,3,Cama - Closet,2165988,11895 Larry Terrace,22,Apartamento
59,231,3,3,Cama - Closet - escritorio,2081712,44 Pond Avenue,91,Apartaestudio
60,606,4,5,Cama - Closet - escritorio,6156997,9 Manley Circle,70,Apartaestudio
61,687,4,9,Cama - Closet - escritorio,9723837,9221 Mayer Junction,38,Apartamento
62,114,1,2,Cama - Closet,4793628,2 Continental Pass,68,Habitación
63,482,3,7,Cama - Closet,6745377,9384 Oak Street,117,Apartamento
64,705,3,6,Otro,9575956,107 Lien Circle,49,Casa
65,868,3,4,Cama - Closet,6696370,2947 Arrowood Avenue,14,Apartamento
66,963,3,5,No,1962940,5 Arrowood Road,104,Casa
67,694,1,7,Solo cama,6604311,1239 Menomonie Park,18,Habitación
68,579,3,2,Otro,8255656,737 Nevada Park,68,Casa
69,895,2,7,No,1360338,520 Victoria Terrace,74,Casa
70,564,1,3,Otro,3988284,1 Petterle Avenue,29,Casa
71,818,2,10,Solo cama,3070670,93 Division Pass,117,Habitación
72,947,2,8,No,5043896,469 Claremont Plaza,54,Apartamento
73,714,1,2,Cama - Closet - escritorio,7901103,5 Monica Terrace,97,Apartaestudio
74,452,2,10,No,6651870,25 Derek Hill,70,Casa
75,446,3,4,No,4117894,8 Sugar Junction,60,Apartaestudio
76,89,3,6,No,9667800,12 Packers Center,102,Apartaestudio
77,356,2,3,Cama - Closet,4508558,2 Main Court,6,Apartaestudio
78,225,4,10,Otro,8566325,396 Kennedy Alley,72,Apartaestudio
79,712,1,9,Otro,5323728,50 Emmet Trail,82,Apartaestudio
80,197,4,1,Solo cama,5338427,27981 Grim Street,80,Apartaestudio
81,719,3,7,Solo cama,2314585,49 Steensland Hill,78,Habitación
82,612,3,3,No,5383849,3 Briar Crest Circle,8,Apartamento
83,77,1,8,No,2901799,17 Scofield Pass,117,Apartamento
84,873,1,2,Cama - Closet - escritorio,1897475,004 Bartillon Parkway,115,Apartamento
85,522,2,4,Otro,7127089,17 Dottie Drive,3,Habitación
86,806,4,8,Otro,1315141,462 Donald Crossing,116,Apartaestudio
87,394,3,9,No,2848732,05 Sugar Parkway,98,Apartamento
88,459,4,9,Otro,4939287,00 Paget Place,14,Habitación
